city,cut,color,clarity,carat,depth,table,x,y,z,price
2,3,6,5,1.21,62.4,58.0,6.83,6.79,4.25,4268
3,4,4,5,0.32,63.0,57.0,4.35,4.38,2.75,505
4,0,3,4,0.71,65.5,55.0,5.62,5.53,3.65,2686
3,1,0,2,0.41,63.8,56.0,4.68,4.72,3.0,738
2,2,3,2,1.02,60.5,59.0,6.55,6.51,3.95,4882
11,2,2,3,1.52,61.2,57.0,7.45,7.39,4.54,9057
0,0,4,5,1.01,65.2,56.0,6.23,6.19,4.05,3733
3,2,6,4,1.52,62.3,58.0,7.32,7.35,4.57,8608
12,2,4,4,0.31,61.8,54.2,4.33,4.37,2.69,557
1,2,3,2,1.14,61.7,56.0,6.71,6.75,4.15,6741
4,3,1,2,0.44,62.3,59.0,4.88,4.84,3.03,1040
11,3,5,2,1.02,58.0,58.0,6.84,6.6,3.9,4284
7,2,5,3,0.93,62.3,57.0,6.2,6.22,3.87,3101
9,3,3,4,1.51,60.1,58.0,7.48,7.45,4.49,14507
10,2,4,3,1.65,61.6,55.0,7.58,7.62,4.68,10349
9,1,3,3,1.5,57.5,63.0,7.53,7.49,4.32,6006
0,2,0,4,0.43,62.1,56.0,4.85,4.87,3.02,1207
10,3,3,5,0.38,60.8,61.0,4.66,4.65,2.83,983
6,2,5,4,0.85,61.9,56.0,6.08,6.1,3.77,3548
11,3,0,3,1.53,60.7,60.0,7.45,7.41,4.51,11078
3,3,4,5,1.54,61.0,60.0,7.46,7.42,4.54,11177
5,3,3,3,0.71,62.0,59.0,5.69,5.65,3.52,1740
12,4,3,4,0.3,61.7,56.0,4.29,4.33,2.66,605
0,2,3,1,1.3,61.3,56.0,7.03,7.06,4.32,12932
7,3,3,2,0.3,62.9,59.0,4.28,4.24,2.68,574
5,2,5,3,1.0,61.7,56.0,6.45,6.41,3.97,2873
1,3,3,5,1.0,61.6,54.0,6.49,6.46,3.99,6216
8,3,0,2,0.9,61.7,56.0,6.16,6.09,3.78,3568
1,4,4,2,1.55,63.2,57.0,7.35,7.31,4.64,7066
1,3,4,3,1.01,61.1,60.0,6.46,6.41,3.93,3054
11,3,3,3,1.16,62.5,58.0,6.72,6.68,4.19,4969
0,2,4,6,0.35,62.0,53.9,4.5,4.53,2.8,743
12,2,4,6,0.97,60.4,57.0,6.4,6.48,3.89,6801
10,2,1,3,1.19,60.2,57.0,6.84,6.87,4.13,5717
3,4,4,4,0.7,62.1,56.0,5.65,5.68,3.52,2422
3,4,4,2,0.8,63.2,54.0,5.93,5.88,3.73,2553
2,3,5,3,2.0,61.3,59.0,8.13,8.09,4.97,14208
1,4,1,5,0.71,63.5,59.0,5.68,5.59,3.58,2858
12,3,2,2,1.0,60.3,58.0,6.47,6.43,3.89,5292
10,2,1,3,0.5,62.4,57.0,5.07,5.03,3.15,1240
3,2,3,7,0.51,61.3,57.0,5.12,5.15,3.15,1875
3,3,3,3,1.04,62.2,59.0,6.57,6.49,4.06,3861
1,2,3,7,0.64,61.8,54.0,5.53,5.56,3.42,2587
10,2,1,5,0.8,62.2,57.0,5.95,5.98,3.71,3648
5,2,0,2,0.3,61.9,56.0,4.28,4.31,2.66,552
3,3,1,5,0.38,61.8,58.0,4.61,4.64,2.86,866
1,2,3,4,0.31,62.1,55.0,4.33,4.37,2.7,625
8,0,4,2,1.0,55.2,64.0,6.69,6.64,3.68,3830
10,2,3,5,0.78,61.7,55.0,5.94,5.89,3.65,3184
12,4,0,2,1.0,59.8,59.0,6.47,6.51,3.88,5671
8,4,4,4,0.7,60.3,63.0,5.77,5.73,3.47,2399
1,4,2,2,0.64,60.7,59.0,5.51,5.59,3.37,1688
10,2,5,4,0.31,61.3,55.6,4.37,4.4,2.69,513
5,2,3,5,0.52,61.9,55.0,5.15,5.18,3.2,1549
5,2,1,4,0.33,62.6,57.0,4.42,4.4,2.76,1002
11,4,4,6,0.3,63.4,57.0,4.31,4.27,2.72,878
6,1,6,2,1.0,63.9,60.0,6.26,6.19,3.98,3679
11,2,1,0,0.3,60.3,57.0,4.39,4.36,2.64,495
8,3,4,4,0.47,61.8,58.0,4.99,4.94,3.07,1221
10,2,4,4,1.59,60.7,56.0,7.54,7.58,4.59,13839
2,1,3,2,1.01,63.7,60.0,6.32,6.28,4.01,5113
3,2,4,2,0.34,62.6,56.0,4.48,4.46,2.8,628
12,2,1,7,0.31,60.8,57.0,4.36,4.39,2.66,816
3,2,3,5,0.74,61.2,56.0,5.82,5.85,3.57,3434
10,2,2,5,0.33,62.6,55.0,4.42,4.4,2.76,854
5,2,5,5,1.08,61.8,54.0,6.6,6.57,4.07,5455
2,2,3,2,0.79,62.3,57.0,5.9,5.85,3.66,2898
7,2,4,7,0.3,61.5,57.0,4.34,4.31,2.66,776
12,2,5,7,1.33,62.2,56.0,7.01,7.04,4.37,7887
3,4,4,2,0.51,61.2,55.0,5.19,5.21,3.18,1008
10,2,0,3,0.58,61.2,57.0,5.36,5.4,3.29,1342
11,2,4,5,1.22,62.0,58.0,6.81,6.86,4.24,7623
5,1,4,5,0.78,63.7,60.0,5.77,5.73,3.66,2440
10,2,5,4,1.62,60.8,56.0,7.56,7.61,4.62,11152
1,2,3,5,1.65,60.8,56.0,7.65,7.7,4.67,14456
8,4,2,4,0.55,61.2,56.4,5.28,5.33,3.25,1975
2,2,1,2,1.64,60.7,55.0,7.67,7.64,4.65,9801
8,3,1,5,0.3,62.5,59.0,4.27,4.3,2.68,658
9,2,0,5,0.41,61.7,56.0,4.81,4.78,2.96,1076
1,3,0,7,0.3,62.4,58.0,4.26,4.3,2.67,752
10,3,3,5,1.1,59.6,60.0,6.72,6.7,4.0,6121
9,2,5,2,1.03,63.3,57.0,6.37,6.46,4.06,4401
11,0,6,5,0.3,64.8,58.0,4.24,4.16,2.72,416
8,3,5,2,1.02,62.7,58.0,6.44,6.41,4.03,4227
5,3,1,5,0.56,61.8,56.0,5.31,5.28,3.27,1915
1,4,2,4,1.51,62.6,57.0,7.25,7.29,4.55,14976
10,3,5,2,1.13,61.8,59.0,6.65,6.68,4.12,4536
9,2,5,2,0.34,61.9,57.0,4.48,4.44,2.76,589
6,3,4,3,1.16,58.8,61.0,6.93,6.84,4.05,4157
3,4,2,5,0.38,59.7,57.0,4.73,4.79,2.84,752
1,3,3,2,1.03,60.5,60.0,6.52,6.48,3.93,5105
0,4,1,3,0.9,62.2,54.0,6.13,6.21,3.84,3715
4,4,0,2,0.5,62.8,58.0,5.02,5.05,3.16,1415
11,2,2,2,0.3,62.2,54.2,4.31,4.34,2.69,499
12,2,0,4,0.64,61.5,56.0,5.54,5.55,3.41,2787
10,0,2,3,0.91,65.3,51.0,6.05,5.98,3.93,2996
6,3,3,6,1.24,60.4,59.0,7.02,7.01,4.24,10485
7,2,5,3,2.3,61.8,57.0,8.48,8.45,5.23,16329
3,2,1,4,0.27,61.6,56.0,4.17,4.14,2.56,603
1,3,6,7,1.0,59.6,61.0,6.4,6.36,3.8,3864
3,2,3,5,0.71,62.9,56.0,5.73,5.68,3.59,2443
3,3,1,2,0.36,60.8,59.0,4.59,4.56,2.78,810
10,2,0,3,0.31,62.1,57.0,4.34,4.32,2.69,593
1,2,4,2,0.93,62.8,56.0,6.19,6.27,3.91,3988
5,1,0,5,0.33,61.8,61.0,4.4,4.44,2.73,652
10,3,3,3,1.77,62.7,59.0,7.67,7.66,4.8,9664
11,2,1,3,1.06,62.2,55.0,6.51,6.54,4.06,5223
8,2,3,3,1.21,62.1,57.0,6.8,6.85,4.24,5226
3,2,1,6,0.3,62.3,55.0,4.29,4.32,2.68,826
10,2,5,5,1.27,62.6,57.0,6.92,6.88,4.32,6401
0,4,0,3,0.92,62.4,60.0,6.21,6.25,3.89,4168
7,2,5,4,0.31,61.9,54.0,4.34,4.38,2.7,489
12,1,4,5,2.01,57.8,60.0,8.29,8.35,4.81,18561
10,2,3,4,1.51,61.9,57.0,7.37,7.34,4.55,14674
6,4,3,5,1.83,60.5,59.0,7.89,7.99,4.8,18358
7,3,2,4,0.38,62.4,59.0,4.57,4.63,2.87,933
1,3,2,7,0.23,61.3,59.0,3.94,3.99,2.43,445
10,2,5,2,0.92,62.1,55.0,6.24,6.29,3.89,3610
1,3,0,2,1.5,62.4,58.0,7.27,7.31,4.55,12069
7,4,3,4,0.32,62.1,55.0,4.41,4.44,2.75,645
8,2,2,3,1.0,61.2,57.0,6.39,6.48,3.94,4372
3,4,2,6,0.31,59.4,57.0,4.39,4.43,2.62,779
9,1,2,3,0.52,58.7,64.0,5.24,5.26,3.08,1350
9,2,4,3,2.01,62.5,53.9,8.04,8.07,5.04,14998
10,2,3,7,0.31,62.2,55.0,4.32,4.36,2.7,565
4,4,6,2,0.77,61.0,59.0,5.94,5.99,3.64,2086
5,4,4,3,1.13,59.8,59.0,6.75,6.82,4.06,4537
8,2,0,2,0.32,62.6,55.0,4.36,4.39,2.74,589
9,3,1,2,2.07,61.2,58.0,8.24,8.19,5.03,16957
3,3,3,5,0.71,60.3,59.0,5.79,5.76,3.48,2443
3,2,2,5,1.11,60.4,58.0,6.73,6.66,4.04,7275
10,3,2,3,1.02,61.1,59.0,6.45,6.41,3.93,4541
5,2,4,5,1.56,61.5,56.0,7.5,7.46,4.6,11636
0,4,5,5,0.34,61.6,56.0,4.47,4.51,2.76,457
0,3,3,3,0.96,62.7,60.0,6.29,6.11,3.89,3215
8,3,0,5,0.31,62.3,55.0,4.35,4.32,2.7,942
4,4,3,4,0.64,60.4,62.0,5.54,5.58,3.36,2060
3,3,2,6,1.01,62.5,58.0,6.41,6.35,3.99,7882
1,2,4,7,0.35,62.5,57.0,4.48,4.54,2.82,706
3,3,2,3,0.7,62.5,60.0,5.66,5.61,3.52,2373
5,2,4,4,0.3,62.1,54.0,4.35,4.32,2.69,675
1,2,4,6,0.71,61.1,56.0,5.78,5.81,3.53,3137
2,2,3,1,0.31,61.1,57.0,4.38,4.42,2.68,871
3,2,1,0,2.25,61.4,54.0,8.52,8.46,5.21,9072
4,3,5,2,1.18,62.8,56.0,6.74,6.71,4.22,5088
11,4,3,3,1.22,63.2,58.0,6.82,6.76,4.29,6409
10,2,3,5,1.72,62.8,57.0,7.65,7.58,4.78,12830
4,2,2,3,2.01,61.7,56.0,8.12,8.16,5.02,18394
10,3,3,2,1.03,60.1,60.0,6.55,6.52,3.93,5581
7,2,2,5,0.7,62.0,56.0,5.71,5.74,3.55,2671
0,1,1,2,1.01,64.3,59.0,6.23,6.28,4.02,5379
9,0,4,4,1.0,64.6,59.0,6.3,6.26,4.06,5242
10,2,2,7,1.1,61.2,56.0,6.66,6.74,4.1,10487
10,2,0,1,0.59,60.9,57.0,5.4,5.43,3.3,4208
10,4,4,5,0.3,63.5,59.0,4.27,4.2,2.69,608
8,2,1,4,0.56,61.3,55.0,5.29,5.32,3.25,1930
0,3,2,2,0.9,61.7,62.0,6.19,6.13,3.8,3936
7,4,1,5,0.57,60.7,58.0,5.37,5.33,3.25,1732
6,2,0,3,0.72,61.2,57.0,5.76,5.8,3.54,2328
3,0,4,2,1.0,65.5,57.0,6.26,6.21,4.08,3511
12,2,3,6,0.4,62.1,53.0,4.75,4.79,2.96,1043
0,3,5,3,1.22,62.3,58.0,6.8,6.85,4.25,4831
7,2,3,1,1.02,62.3,57.0,6.43,6.5,4.03,8955
8,2,4,5,1.08,61.8,56.0,6.59,6.55,4.06,5625
3,3,3,1,0.33,60.8,58.0,4.46,4.42,2.7,1052
0,4,1,7,0.42,59.8,56.0,4.9,4.92,2.94,1167
9,4,2,2,1.36,62.8,53.0,7.05,7.1,4.45,6597
5,2,2,4,0.58,62.1,56.0,5.38,5.32,3.32,2088
