city,cut,color,clarity,carat,depth,table,price
2,3,6,5,1.21,62.4,58.0,4268
3,4,4,5,0.32,63.0,57.0,505
4,0,3,4,0.71,65.5,55.0,2686
3,1,0,2,0.41,63.8,56.0,738
2,2,3,2,1.02,60.5,59.0,4882
11,2,2,3,1.52,61.2,57.0,9057
0,0,4,5,1.01,65.2,56.0,3733
3,2,6,4,1.52,62.3,58.0,8608
12,2,4,4,0.31,61.8,54.2,557
1,2,3,2,1.14,61.7,56.0,6741
4,3,1,2,0.44,62.3,59.0,1040
11,3,5,2,1.02,58.0,58.0,4284
7,2,5,3,0.93,62.3,57.0,3101
10,2,4,3,1.65,61.6,55.0,10349
9,1,3,3,1.5,57.5,63.0,6006
0,2,0,4,0.43,62.1,56.0,1207
10,3,3,5,0.38,60.8,61.0,983
6,2,5,4,0.85,61.9,56.0,3548
11,3,0,3,1.53,60.7,60.0,11078
3,3,4,5,1.54,61.0,60.0,11177
5,3,3,3,0.71,62.0,59.0,1740
12,4,3,4,0.3,61.7,56.0,605
7,3,3,2,0.3,62.9,59.0,574
5,2,5,3,1.0,61.7,56.0,2873
1,3,3,5,1.0,61.6,54.0,6216
8,3,0,2,0.9,61.7,56.0,3568
1,4,4,2,1.55,63.2,57.0,7066
1,3,4,3,1.01,61.1,60.0,3054
11,3,3,3,1.16,62.5,58.0,4969
0,2,4,6,0.35,62.0,53.9,743
12,2,4,6,0.97,60.4,57.0,6801
10,2,1,3,1.19,60.2,57.0,5717
3,4,4,4,0.7,62.1,56.0,2422
3,4,4,2,0.8,63.2,54.0,2553
1,4,1,5,0.71,63.5,59.0,2858
12,3,2,2,1.0,60.3,58.0,5292
10,2,1,3,0.5,62.4,57.0,1240
3,2,3,7,0.51,61.3,57.0,1875
3,3,3,3,1.04,62.2,59.0,3861
1,2,3,7,0.64,61.8,54.0,2587
10,2,1,5,0.8,62.2,57.0,3648
5,2,0,2,0.3,61.9,56.0,552
3,3,1,5,0.38,61.8,58.0,866
1,2,3,4,0.31,62.1,55.0,625
8,0,4,2,1.0,55.2,64.0,3830
10,2,3,5,0.78,61.7,55.0,3184
12,4,0,2,1.0,59.8,59.0,5671
8,4,4,4,0.7,60.3,63.0,2399
1,4,2,2,0.64,60.7,59.0,1688
10,2,5,4,0.31,61.3,55.6,513
5,2,3,5,0.52,61.9,55.0,1549
5,2,1,4,0.33,62.6,57.0,1002
11,4,4,6,0.3,63.4,57.0,878
6,1,6,2,1.0,63.9,60.0,3679
11,2,1,0,0.3,60.3,57.0,495
8,3,4,4,0.47,61.8,58.0,1221
2,1,3,2,1.01,63.7,60.0,5113
3,2,4,2,0.34,62.6,56.0,628
12,2,1,7,0.31,60.8,57.0,816
3,2,3,5,0.74,61.2,56.0,3434
10,2,2,5,0.33,62.6,55.0,854
5,2,5,5,1.08,61.8,54.0,5455
2,2,3,2,0.79,62.3,57.0,2898
7,2,4,7,0.3,61.5,57.0,776
12,2,5,7,1.33,62.2,56.0,7887
3,4,4,2,0.51,61.2,55.0,1008
10,2,0,3,0.58,61.2,57.0,1342
11,2,4,5,1.22,62.0,58.0,7623
5,1,4,5,0.78,63.7,60.0,2440
10,2,5,4,1.62,60.8,56.0,11152
8,4,2,4,0.55,61.2,56.4,1975
2,2,1,2,1.64,60.7,55.0,9801
8,3,1,5,0.3,62.5,59.0,658
9,2,0,5,0.41,61.7,56.0,1076
1,3,0,7,0.3,62.4,58.0,752
10,3,3,5,1.1,59.6,60.0,6121
9,2,5,2,1.03,63.3,57.0,4401
11,0,6,5,0.3,64.8,58.0,416
8,3,5,2,1.02,62.7,58.0,4227
5,3,1,5,0.56,61.8,56.0,1915
10,3,5,2,1.13,61.8,59.0,4536
9,2,5,2,0.34,61.9,57.0,589
6,3,4,3,1.16,58.8,61.0,4157
3,4,2,5,0.38,59.7,57.0,752
1,3,3,2,1.03,60.5,60.0,5105
0,4,1,3,0.9,62.2,54.0,3715
4,4,0,2,0.5,62.8,58.0,1415
11,2,2,2,0.3,62.2,54.2,499
12,2,0,4,0.64,61.5,56.0,2787
10,0,2,3,0.91,65.3,51.0,2996
6,3,3,6,1.24,60.4,59.0,10485
3,2,1,4,0.27,61.6,56.0,603
1,3,6,7,1.0,59.6,61.0,3864
3,2,3,5,0.71,62.9,56.0,2443
3,3,1,2,0.36,60.8,59.0,810
10,2,0,3,0.31,62.1,57.0,593
1,2,4,2,0.93,62.8,56.0,3988
5,1,0,5,0.33,61.8,61.0,652
10,3,3,3,1.77,62.7,59.0,9664
11,2,1,3,1.06,62.2,55.0,5223
8,2,3,3,1.21,62.1,57.0,5226
3,2,1,6,0.3,62.3,55.0,826
10,2,5,5,1.27,62.6,57.0,6401
0,4,0,3,0.92,62.4,60.0,4168
7,2,5,4,0.31,61.9,54.0,489
7,3,2,4,0.38,62.4,59.0,933
1,3,2,7,0.23,61.3,59.0,445
10,2,5,2,0.92,62.1,55.0,3610
7,4,3,4,0.32,62.1,55.0,645
8,2,2,3,1.0,61.2,57.0,4372
3,4,2,6,0.31,59.4,57.0,779
9,1,2,3,0.52,58.7,64.0,1350
10,2,3,7,0.31,62.2,55.0,565
4,4,6,2,0.77,61.0,59.0,2086
5,4,4,3,1.13,59.8,59.0,4537
8,2,0,2,0.32,62.6,55.0,589
3,3,3,5,0.71,60.3,59.0,2443
3,2,2,5,1.11,60.4,58.0,7275
10,3,2,3,1.02,61.1,59.0,4541
5,2,4,5,1.56,61.5,56.0,11636
0,4,5,5,0.34,61.6,56.0,457
0,3,3,3,0.96,62.7,60.0,3215
8,3,0,5,0.31,62.3,55.0,942
4,4,3,4,0.64,60.4,62.0,2060
3,3,2,6,1.01,62.5,58.0,7882
1,2,4,7,0.35,62.5,57.0,706
3,3,2,3,0.7,62.5,60.0,2373
5,2,4,4,0.3,62.1,54.0,675
1,2,4,6,0.71,61.1,56.0,3137
2,2,3,1,0.31,61.1,57.0,871
